
327	2 4 7 A 	0 2 5 8 	4-27 
328	2 4 7 B 	0 3 5 8 	4-26 
329	2 4 8 9 	0 1 5 7 	4-16 
330	2 4 8 A 	0 2 6 8 	4-25 
331	2 4 8 B 	0 2 5 8 	4-27 
332	2 4 9 A 	0 1 5 7 	4-16 
333	2 4 9 B 	0 2 5 7 	4-23 
334	2 4 A B 	0 1 4 6 	4-15 
335	2 5 6 7 	0 1 2 5 	4-4 
336	2 5 6 8 	0 2 3 6 	4-12 
337	2 5 6 9 	0 3 4 7 	4-17 
338	2 5 6 A 	0 1 4 8 	4-19 
339	2 5 6 B 	0 1 4 7 	4-18 
340	2 5 7 8 	0 1 3 6 	4-13 
341	2 5 7 9 	0 2 4 7 	4-22 
342	2 5 7 A 	0 3 5 8 	4-26 
343	2 5 7 B 	0 2 5 8 	4-27 
344	2 5 8 9 	0 1 4 7 	4-18 
345	2 5 8 A 	0 2 5 8 	4-27 
346	2 5 8 B 	0 3 6 9 	4-28 
347	2 5 9 A 	0 1 5 8 	4-20 
348	2 5 9 B 	0 2 5 8 	4-27 
349	2 5 A B 	0 1 4 7 	4-18 
350	2 6 7 8 	0 1 2 6 	4-5 
351	2 6 7 9 	0 2 3 7 	4-14 
352	2 6 7 A 	0 1 4 8 	4-19 
353	2 6 7 B 	0 1 5 8 	4-20 
354	2 6 8 9 	0 1 3 7 	4-29 
355	2 6 8 A 	0 2 4 8 	4-24 
356	2 6 8 B 	0 2 5 8 	4-27 
357	2 6 9 A 	0 1 4 8 	4-19 
358	2 6 9 B 	0 3 5 8 	4-26 
359	2 6 A B 	0 1 4 8 	4-19 
360	2 7 8 9 	0 1 2 7 	4-6 
361	2 7 8 A 	0 1 3 7 	4-29 
362	2 7 8 B 	0 1 4 7 	4-18 
363	2 7 9 A 	0 2 3 7 	4-14 
364	2 7 9 B 	0 2 4 7 	4-22 
365	2 7 A B 	0 3 4 7 	4-17 
366	2 8 9 A 	0 1 2 6 	4-5 
367	2 8 9 B 	0 1 3 6 	4-13 
368	2 8 A B 	0 2 3 6 	4-12 
369	2 9 A B 	0 1 2 5 	4-4 
370	3 4 5 6 	0 1 2 3 	4-1 
371	3 4 5 7 	0 1 2 4 	4-2 
372	3 4 5 8 	0 1 2 5 	4-4 
373	3 4 5 9 	0 1 2 6 	4-5 
374	3 4 5 A 	0 1 2 7 	4-6 
375	3 4 5 B 	0 1 2 6 	4-5 
376	3 4 6 7 	0 1 3 4 	4-3 
377	3 4 6 8 	0 1 3 5 	4-11 
378	3 4 6 9 	0 1 3 6 	4-13 
379	3 4 6 A 	0 1 3 7 	4-29 
380	3 4 6 B 	0 2 3 7 	4-14 
381	3 4 7 8 	0 1 4 5 	4-7 
382	3 4 7 9 	0 1 4 6 	4-15 
383	3 4 7 A 	0 1 4 7 	4-18 
384	3 4 7 B 	0 1 4 8 	4-19 
385	3 4 8 9 	0 1 5 6 	4-8 
386	3 4 8 A 	0 1 5 7 	4-16 
387	3 4 8 B 	0 1 5 8 	4-20 
388	3 4 9 A 	0 1 6 7 	4-9 
389	3 4 9 B 	0 1 5 7 	4-16 
390	3 4 A B 	0 1 5 6 	4-8 
391	3 5 6 7 	0 1 2 4 	4-2 
392	3 5 6 8 	0 2 3 5 	4-10 
393	3 5 6 9 	0 2 3 6 	4-12 
394	3 5 6 A 	0 2 3 7 	4-14 
395	3 5 6 B 	0 1 3 7 	4-29 
396	3 5 7 8 	0 1 3 5 	4-11 
397	3 5 7 9 	0 2 4 6 	4-21 
398	3 5 7 A 	0 2 4 7 	4-22 
399	3 5 7 B 	0 2 4 8 	4-24 
400	3 5 8 9 	0 1 4 6 	4-15 
401	3 5 8 A 	0 2 5 7 	4-23 
402	3 5 8 B 	0 2 5 8 	4-27 
403	3 5 9 A 	0 1 5 7 	4-16 
404	3 5 9 B 	0 2 6 8 	4-25 
405	3 5 A B 	0 1 5 7 	4-16 
406	3 6 7 8 	0 1 2 5 	4-4 
407	3 6 7 9 	0 2 3 6 	4-12 
408	3 6 7 A 	0 3 4 7 	4-17 
409	3 6 7 B 	0 1 4 8 	4-19 
410	3 6 8 9 	0 1 3 6 	4-13 
411	3 6 8 A 	0 2 4 7 	4-22 
412	3 6 8 B 	0 3 5 8 	4-26 
413	3 6 9 A 	0 1 4 7 	4-18 
414	3 6 9 B 	0 2 5 8 	4-27 
415	3 6 A B 	0 1 5 8 	4-20 
416	3 7 8 9 	0 1 2 6 	4-5 
417	3 7 8 A 	0 2 3 7 	4-14 
418	3 7 8 B 	0 1 4 8 	4-19 
419	3 7 9 A 	0 1 3 7 	4-29 
420	3 7 9 B 	0 2 4 8 	4-24 
421	3 7 A B 	0 1 4 8 	4-19 
422	3 8 9 A 	0 1 2 7 	4-6 
423	3 8 9 B 	0 1 3 7 	4-29 
424	3 8 A B 	0 2 3 7 	4-14 
425	3 9 A B 	0 1 2 6 	4-5 
426	4 5 6 7 	0 1 2 3 	4-1 
427	4 5 6 8 	0 1 2 4 	4-2 
428	4 5 6 9 	0 1 2 5 	4-4 
429	4 5 6 A 	0 1 2 6 	4-5 
430	4 5 6 B 	0 1 2 7 	4-6 
431	4 5 7 8 	0 1 3 4 	4-3 
432	4 5 7 9 	0 1 3 5 	4-11 
433	4 5 7 A 	0 1 3 6 	4-13 
434	4 5 7 B 	0 1 3 7 	4-29 
435	4 5 8 9 	0 1 4 5 	4-7 
436	4 5 8 A 	0 1 4 6 	4-15 
437	4 5 8 B 	0 1 4 7 	4-18 
438	4 5 9 A 	0 1 5 6 	4-8 
439	4 5 9 B 	0 1 5 7 	4-16 
440	4 5 A B 	0 1 6 7 	4-9 
441	4 6 7 8 	0 1 2 4 	4-2 
442	4 6 7 9 	0 2 3 5 	4-10 
443	4 6 7 A 	0 2 3 6 	4-12 
444	4 6 7 B 	0 2 3 7 	4-14 
445	4 6 8 9 	0 1 3 5 	4-11 
446	4 6 8 A 	0 2 4 6 	4-21 
447	4 6 8 B 	0 2 4 7 	4-22 
448	4 6 9 A 	0 1 4 6 	4-15 
449	4 6 9 B 	0 2 5 7 	4-23 
450	4 6 A B 	0 1 5 7 	4-16 
451	4 7 8 9 	0 1 2 5 	4-4 
452	4 7 8 A 	0 2 3 6 	4-12 
453	4 7 8 B 	0 3 4 7 	4-17 
454	4 7 9 A 	0 1 3 6 	4-13 
455	4 7 9 B 	0 2 4 7 	4-22 
456	4 7 A B 	0 1 4 7 	4-18 
457	4 8 9 A 	0 1 2 6 	4-5 
458	4 8 9 B 	0 2 3 7 	4-14 
459	4 8 A B 	0 1 3 7 	4-29 
460	4 9 A B 	0 1 2 7 	4-6 
461	5 6 7 8 	0 1 2 3 	4-1 
462	5 6 7 9 	0 1 2 4 	4-2 
463	5 6 7 A 	0 1 2 5 	4-4 
464	5 6 7 B 	0 1 2 6 	4-5 
465	5 6 8 9 	0 1 3 4 	4-3 
466	5 6 8 A 	0 1 3 5 	4-11 
467	5 6 8 B 	0 1 3 6 	4-13 
468	5 6 9 A 	0 1 4 5 	4-7 
469	5 6 9 B 	0 1 4 6 	4-15 
470	5 6 A B 	0 1 5 6 	4-8 
471	5 7 8 9 	0 1 2 4 	4-2 
472	5 7 8 A 	0 2 3 5 	4-10 
473	5 7 8 B 	0 2 3 6 	4-12 
474	5 7 9 A 	0 1 3 5 	4-11 
475	5 7 9 B 	0 2 4 6 	4-21 
476	5 7 A B 	0 1 4 6 	4-15 
477	5 8 9 A 	0 1 2 5 	4-4 
478	5 8 9 B 	0 2 3 6 	4-12 
479	5 8 A B 	0 1 3 6 	4-13 
480	5 9 A B 	0 1 2 6 	4-5 
481	6 7 8 9 	0 1 2 3 	4-1 
482	6 7 8 A 	0 1 2 4 	4-2 
483	6 7 8 B 	0 1 2 5 	4-4 
484	6 7 9 A 	0 1 3 4 	4-3 
485	6 7 9 B 	0 1 3 5 	4-11 
486	6 7 A B 	0 1 4 5 	4-7 
487	6 8 9 A 	0 1 2 4 	4-2 
488	6 8 9 B 	0 2 3 5 	4-10 
489	6 8 A B 	0 1 3 5 	4-11 
490	6 9 A B 	0 1 2 5 	4-4 
491	7 8 9 A 	0 1 2 3 	4-1 
492	7 8 9 B 	0 1 2 4 	4-2 
493	7 8 A B 	0 1 3 4 	4-3 
494	7 9 A B 	0 1 2 4 	4-2 
495	8 9 A B 	0 1 2 3 	4-1
